PMID,Title,Abstract,Journal,PubDate,PublicationYear,PublicationMonth,PublicationDay,Authors,AuthorKeywords,DOI,DOI_Link,PMC_Link,Volume,Issue,Language,Country,PublicationTypes,MeSH_Terms,AccessStatus,OA_Type,License,FreePDF_Link
34043953,"A Lancet Commission on 70 years of women's reproductive, maternal, newborn, child, and adolescent health in China.",,"Lancet (London, England)",2021 Jun 26,2021,June,26,Jie Qiao; Yuanyuan Wang; Xiaohong Li; Fan Jiang; Yunting Zhang; Jun Ma; Yi Song; Jing Ma; Wei Fu; Ruyan Pang; Zhaofang Zhu; Jun Zhang; Xu Qian; Linhong Wang; Jiuling Wu; Hsun-Ming Chang; Peter C K Leung; Meng Mao; Duan Ma; Yan Guo; Jie Qiu; Li Liu; Haidong Wang; Robert J Norman; Joy Lawn; Robert E Black; Carine Ronsmans; George Patton; Jun Zhu; Li Song; Therese Hesketh,,10.1016/S0140-6736(20)32708-2,https://doi.org/10.1016/S0140-6736(20)32708-2,,397,10293,eng,England,Journal Article; Review,Adolescent; Adolescent Health; Adult; Child; Child Health; China/epidemiology; Female; Health Services Accessibility; Humans; Maternal Health; Quality of Health Care; Reproductive Health; Women's Health,Open Access,hybrid,other-oa,https://doi.org/10.1016/s0140-6736(20)32708-2
37486660,Screening and Diagnosis of Mental Health Conditions During Pregnancy and Postpartum: ACOG Clinical Practice Guideline No. 4.,"PURPOSE: To review evidence on the current understanding of mental health conditions in pregnancy and postpartum, with a focus on mood and anxiety disorders, and to outline guidelines for screening and diagnosis that are consistent with best available scientific evidence. The conditions or symptoms reviewed include depression, anxiety and anxiety-related disorders, bipolar disorder, suicidality, and postpartum psychosis. For information on psychopharmacologic treatment and management, refer to American College of Obstetricians and Gynecologists (ACOG) Clinical Practice Guideline Number 5, ""Treatment and Management of Mental Health Conditions During Pregnancy and Postpartum"" (1). TARGET POPULATION: Pregnant or postpartum individuals with mental health conditions. Onset of these conditions may have predated the perinatal period or may have occurred for the first time in pregnancy or the first year postpartum or may have been exacerbated in that time. METHODS: This guideline was developed using an a priori protocol in conjunction with a writing team consisting of one specialist in obstetrics and gynecology and one maternal-fetal medicine subspecialist appointed by the ACOG Committee on Clinical Practice Guidelines-Obstetrics and two external subject matter experts. ACOG medical librarians completed a comprehensive literature search for primary literature within Cochrane Library, Cochrane Collaboration Registry of Controlled Trials, EMBASE, PubMed, and MEDLINE. Studies that moved forward to the full-text screening stage were assessed by two authors from the writing team based on standardized inclusion and exclusion criteria. Included studies underwent quality assessment, and a modified GRADE (Grading of Recommendations Assessment, Development and Evaluation) evidence-to-decision framework was applied to interpret and translate the evidence into recommendation statements. RECOMMENDATIONS: This Clinical Practice Guideline includes recommendations on the screening and diagnosis of perinatal mental health conditions including depression, anxiety, bipolar disorder, acute postpartum psychosis, and the symptom of suicidality. Recommendations are classified by strength and evidence quality. Ungraded Good Practice Points are included to provide guidance when a formal recommendation could not be made because of inadequate or nonexistent evidence.",Obstetrics and gynecology,2023 Jun 01,2023,June,01,,,10.1097/AOG.0000000000005200,https://doi.org/10.1097/AOG.0000000000005200,,141,6,eng,United States,Journal Article; Practice Guideline,Female; Humans; Pregnancy; Anxiety/diagnosis; Gynecology; Mental Health; Obstetrics; Postpartum Period,Closed Access,closed,,
31977782,Telehealth Interventions to Improve Obstetric and Gynecologic Health Outcomes: A Systematic Review.,"OBJECTIVE: To systematically review the effectiveness of telehealth interventions for improving obstetric and gynecologic health outcomes. DATA SOURCES: We conducted a comprehensive search for primary literature in ClinicalTrials.gov, Cochrane Library, Cochrane Collaboration Registry of Controlled Trials, EMBASE, PubMed, and MEDLINE. METHODS OF STUDY SELECTION: Qualifying primary studies had a comparison group, were conducted in countries ranked very high on the United Nations Human Development Index, published in English, and evaluated obstetric and gynecologic health outcomes. Cochrane Collaboration's tool and ROBINS-I tool were used for assessing risk of bias. Summary of evidence tables were created using the United States Preventive Services Task Force Summary of Evidence Table for Evidence Reviews. TABULATION, INTEGRATION, RESULTS: Of the 3,926 published abstracts identified, 47 met criteria for inclusion and included 31,967 participants. Telehealth interventions overall improved obstetric outcomes related to smoking cessation and breastfeeding. Telehealth interventions decreased the need for high-risk obstetric monitoring office visits while maintaining maternal and fetal outcomes. One study found reductions in diagnosed preeclampsia among women with gestational hypertension. Telehealth interventions were effective for continuation of oral and injectable contraception; one text-based study found increased oral contraception rates at 6 months. Telehealth provision of medication abortion services had similar clinical outcomes compared with in-person care and improved access to early abortion. Few studies suggested utility for telehealth to improve notification of sexually transmitted infection test results and app-based intervention to improve urinary incontinence symptoms. CONCLUSION: Telehealth interventions were associated with improvements in obstetric outcomes, perinatal smoking cessation, breastfeeding, early access to medical abortion services, and schedule optimization for high-risk obstetrics. Further well-designed studies are needed to examine these interventions and others to generate evidence that can inform decisions about implementation of newer telehealth technologies into obstetrics and gynecology practice.",Obstetrics and gynecology,2020 Feb,2020,February,,Nathaniel DeNicola; Daniel Grossman; Kathryn Marko; Sarita Sonalkar; Yvonne S Butler Tobah; Nihar Ganju; Catherine T Witkop; Jillian T Henderson; Jessica L Butler; Curtis Lowery,,10.1097/AOG.0000000000003646,https://doi.org/10.1097/AOG.0000000000003646,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7012339/,135,2,eng,United States,"Journal Article; Research Support, Non-U.S. Gov't; Systematic Review",Female; Gynecology/methods; Gynecology/trends; Humans; Obstetrics/methods; Obstetrics/trends; Pregnancy; Prenatal Care/standards; Quality of Health Care; Randomized Controlled Trials as Topic; Telemedicine/methods; Telemedicine/trends,Open Access,hybrid,cc-by-nc-nd,http://links.lww.com/AOG/B689
30553051,Perineal prevention and protection in obstetrics: CNGOF clinical practice guidelines.,"INTRODUCTION: The objective of these clinical practice guidelines was to analyse all of the interventions during pregnancy and childbirth that might prevent obstetric anal sphincter injuries (OASIS) and postnatal pelvic floor symptoms. MATERIAL AND METHODS: These guidelines were developed in accordance with the methods prescribed by the French Health Authority (HAS). RESULTS: A prenatal clinical examination of the perineum is recommended for women with a history of Crohn's disease, OASIS, genital mutilation, or perianal lesions (professional consensus). Just after delivery, a perineal examination is recommended to check for OASIS (Grade B); if there is doubt about the diagnosis, a second opinion should be requested (Grade C). In case of OASIS, the injuries (including their severity) and the technique for their repair should be described in detail (Grade C). Perineal massage during pregnancy must be encouraged among women who want it (Grade B). No intervention conducted before the start of the active phase of the second stage of labour has been shown to be effective in reducing the risk of perineal injury. The crowning of the baby's head should be manually controlled and the posterior perineum manually supported to reduce the risk of OASIS (Grade C). The performance of an episiotomy during normal deliveries is not recommended to reduce the risk of OASIS (Grade A). In instrumental deliveries, episiotomy may be indicated to avoid OASIS (Grade C). When an episiotomy is performed, a mediolateral incision is recommended (Grade B). The indication for episiotomy should be explained to the woman, and she should consent before its performance. Advising women to have a caesarean delivery for primary prevention of postnatal urinary or anal incontinence is not recommended (Grade B). During pregnancy and again in the labour room, obstetrics professionals should focus on the woman's expectations and inform her about the modes of delivery.",Journal of gynecology obstetrics and human reproduction,2019 Sep,2019,September,,G Ducarme; A C Pizzoferrato; R de Tayrac; C Schantz; T Thubert; C Le Ray; D Riethmuller; E Verspyck; B Gachon; F Pierre; F Artzner; B Jacquetin; X Fritel,Anal sphincter; Delivery; Episiotomy; Guideline; OASIS; Obstetrics; Perineal tear; Prevention,10.1016/j.jogoh.2018.12.002,https://doi.org/10.1016/j.jogoh.2018.12.002,,48,7,eng,France,Journal Article; Practice Guideline,"Anal Canal/injuries; Anal Canal/pathology; Anal Canal/surgery; Delivery, Obstetric/adverse effects; Delivery, Obstetric/methods; Episiotomy/methods; Episiotomy/rehabilitation; Female; Gynecology/methods; Gynecology/organization & administration; Gynecology/standards; Humans; Infant, Newborn; Lacerations/prevention & control; Obstetrics/methods; Obstetrics/organization & administration; Obstetrics/standards; Parturition/physiology; Perineum/injuries; Perineum/pathology; Perineum/surgery; Pregnancy; Risk Factors; Societies, Medical/standards",Open Access,hybrid,other-oa,https://www.sciencedirect.com/science/article/am/pii/S2468784718305191
29395268,"Countdown to 2030: tracking progress towards universal coverage for reproductive, maternal, newborn, and child health.","Building upon the successes of Countdown to 2015, Countdown to 2030 aims to support the monitoring and measurement of women's, children's, and adolescents' health in the 81 countries that account for 95% of maternal and 90% of all child deaths worldwide. To achieve the Sustainable Development Goals by 2030, the rate of decline in prevalence of maternal and child mortality, stillbirths, and stunting among children younger than 5 years of age needs to accelerate considerably compared with progress since 2000. Such accelerations are only possible with a rapid scale-up of effective interventions to all population groups within countries (particularly in countries with the highest mortality and in those affected by conflict), supported by improvements in underlying socioeconomic conditions, including women's empowerment. Three main conclusions emerge from our analysis of intervention coverage, equity, and drivers of reproductive, maternal, newborn, and child health (RMNCH) in the 81 Countdown countries. First, even though strong progress was made in the coverage of many essential RMNCH interventions during the past decade, many countries are still a long way from universal coverage for most essential interventions. Furthermore, a growing body of evidence suggests that available services in many countries are of poor quality, limiting the potential effect on RMNCH outcomes. Second, within-country inequalities in intervention coverage are reducing in most countries (and are now almost non-existent in a few countries), but the pace is too slow. Third, health-sector (eg, weak country health systems) and non-health-sector drivers (eg, conflict settings) are major impediments to delivering high-quality services to all populations. Although more data for RMNCH interventions are available now, major data gaps still preclude the use of evidence to drive decision making and accountability. Countdown to 2030 is investing in improvements in measurement in several areas, such as quality of care and effective coverage, nutrition programmes, adolescent health, early childhood development, and evidence for conflict settings, and is prioritising its regional networks to enhance local analytic capacity and evidence for RMNCH.","Lancet (London, England)",2018 Apr 14,2018,April,14,,,10.1016/S0140-6736(18)30104-1,https://doi.org/10.1016/S0140-6736(18)30104-1,,391,10129,eng,England,"Journal Article; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, Non-P.H.S.; Review",Child Health/statistics & numerical data; Child Health/trends; Conservation of Natural Resources/trends; Global Health/statistics & numerical data; Global Health/trends; Health Equity/statistics & numerical data; Health Equity/trends; Humans; Infant Health/statistics & numerical data; Infant Health/trends; Maternal Health/statistics & numerical data; Maternal Health/trends; Mortality/trends; Nutritional Status; Reproductive Health/statistics & numerical data; Reproductive Health/trends; Universal Health Insurance/statistics & numerical data; Universal Health Insurance/trends,Open Access,hybrid,other-oa,http://www.thelancet.com/article/S0140673618301041/pdf
26433807,"The International Federation of Gynecology and Obstetrics (FIGO) Initiative on gestational diabetes mellitus: A pragmatic guide for diagnosis, management, and care.",,International journal of gynaecology and obstetrics: the official organ of the International Federation of Gynaecology and Obstetrics,2015 Oct,2015,October,,Moshe Hod; Anil Kapur; David A Sacks; Eran Hadar; Mukesh Agarwal; Gian Carlo Di Renzo; Luis Cabero Roura; Harold David McIntyre; Jessica L Morris; Hema Divakar,,10.1016/S0020-7292(15)30033-3,https://doi.org/10.1016/S0020-7292(15)30033-3,,131 Suppl 3,,eng,United States,"Journal Article; Practice Guideline; Research Support, Non-U.S. Gov't","Diabetes, Gestational/diagnosis; Diabetes, Gestational/therapy; Female; Gynecology; Humans; Hyperglycemia/therapy; International Agencies; Obstetrics; Organizations, Nonprofit; Pregnancy; Pregnancy Complications; Risk Factors",Open Access,hybrid,cc-by-nc-nd,https://obgyn.onlinelibrary.wiley.com/doi/pdfdirect/10.1016/S0020-7292%2815%2930033-3
33602781,Uterine leiomyoblastoma.,,BMJ case reports,2021 Feb 18,2021,February,18,Francesk Mulita; Fotios Iliopoulos; Kerasia-Maria Plachouri; Ioannis Kehagias,general surgery; obstetrics and gynaecology,10.1136/bcr-2020-241533,https://doi.org/10.1136/bcr-2020-241533,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7896603/,14,2,eng,England,Journal Article; Case Reports,"Female; Gynecology; Humans; Leiomyoma, Epithelioid; Obstetrics; Uterus",Open Access,bronze,,https://casereports.bmj.com/content/bmjcr/14/2/e241533.full.pdf
33558990,Point-of-care ultrasound in obstetrics and gynecology.,"BACKGROUND: The rapid technical development and portability of ultrasound systems over recent years has had a profound impact on the area of point-of-care-ultrasound (POCUS), both in general medicine and in obstetrics and gynecology. The use of POCUS enables the clinician to perform the ultrasound scan either at the medical office or the patient's bedside and used as an extension of the physical examination. Real-time images can immediately be correlated with the patient's symptoms, and any changes in a (critical) patient's condition can be more rapidly detected. POCUS IN OBGYN: POCUS is also suitable for time-critical scenarios, and depending on the situation and its dynamics, the course and results of any therapy may be observed in real time. POCUS should be considered to be a routine extension of practice for most OB/GYN clinicians as it can give immediate answers to what could be life-threatening situations for the mother and/or baby. With its proven usefulness, the applications and use of POCUS should be incorporated in teaching programs for medical students, OBGYN residents and emergency physicians.",Archives of gynecology and obstetrics,2021 Apr,2021,April,,Florian Recker; Eva Weber; Brigitte Strizek; Ulrich Gembruch; Susan Campbell Westerway; Christoph F Dietrich,Gynecology; Imaging; Obstetrics; Point-of-care ultrasound (POCUS),10.1007/s00404-021-05972-5,https://doi.org/10.1007/s00404-021-05972-5,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7985120/,303,4,eng,Germany,Journal Article; Review,Gynecology/methods; Humans; Obstetrics/methods; Physical Examination; Point-of-Care Systems/standards; Ultrasonography/methods,Open Access,hybrid,cc-by,https://link.springer.com/content/pdf/10.1007/s00404-021-05972-5.pdf
28945614,Simulation Training in Obstetrics.,"Simulation now permeates all levels of training in obstetrics and maternal-fetal medicine. We will review the role of obstetric simulation through the continuum of training and practice. Simulation allows learners to acquire skills in a nonthreatening environment while avoiding harm to patients. Simulation in obstetrics evolved from a learning tool for students and residents, to a method for experienced physicians to learn new procedures and reenter the full breadth and depth of practice. Specialty boards and credentialing organizations recognize simulation training as an innovative approach to assess and assure technical, clinical, and teamwork skills.",Clinical obstetrics and gynecology,2017 Dec,2017,December,,Nicole R Gavin; Andrew J Satin,,10.1097/GRF.0000000000000322,https://doi.org/10.1097/GRF.0000000000000322,,60,4,eng,United States,Journal Article; Review,"Education, Medical/methods; Female; Gynecology/education; Humans; Obstetrics/education; Pregnancy; Simulation Training/methods",Closed Access,closed,,
26819135,Changes in the Practice of Obstetrics and Gynecology.,"A projected shortage of obstetrician-gynecologists (OB-GYNs) is a result of both the increasing US population and the relatively static number of residency graduates. In addition, generational changes have contributed to increasing subspecialization, more desiring part-time employment, and earlier retirement. This article reviews data regarding changes in the practice of obstetrics and gynecology. Residency education is focusing more on a core curriculum in general obstetrics and gynecology, while subspecialty fellowship training has grown in popularity. There are no recent data to describe whether OB-GYNs are working fewer hours, yet more are employed in larger practices at mostly metropolitan locations. A team-based care model that incorporates nonphysician clinicians and digital conversion of clinical data has been encouraged to increase accessibility, improve comprehensiveness, commit to more continuity of care, and reduce redundancy. Compared with other medical specialists, OB-GYNs retire slightly earlier, especially females who will represent the field more. The specialty is moving toward a more comprehensive women's health care practice model that is more patient-centered, efficient, cost controlling, team-based, and adaptable to the needs of a diverse population. Implications from these changes for our practices and improving patient care are currently unclear and await more reported experience.",Obstetrical & gynecological survey,2016 Jan,2016,January,,William F Rayburn; Erin E Tracy,,10.1097/OGX.0000000000000264,https://doi.org/10.1097/OGX.0000000000000264,,71,1,eng,United States,Journal Article; Review,"Age Factors; Fellowships and Scholarships; Female; Gynecology/education; Gynecology/organization & administration; Gynecology/trends; Humans; Internship and Residency; Male; Models, Organizational; Obstetrics/education; Obstetrics/organization & administration; Obstetrics/trends; Patient-Centered Care; Personnel Staffing and Scheduling; Professional Practice/trends; Retirement; Sex Factors; Specialization/trends; Workforce",Closed Access,closed,,
